country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Bulgaria,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6923000,6871000,6819000,6767000,6714000,6660000,6605000,6549000,6493000,6437000,6380000,6323000,6267000,6211000,6155000,6100000
Burkina Faso,11607942,11944587,12293100,12654621,13030569,13421930,13829176,14252021,14689725,15141098,15605217,16081911,16571246,17072775,17586017,18110624,18646378,19193284,19751535,20321378,20903000,21497000,22103000,22721000,23352000,23995000,24652000,25321000,26003000,26698000,27404000,28122000,28852000,29593000,30344000,31106000
Burundi,6378871,6525545,6704113,6909154,7131693,7364862,7607849,7862214,8126102,8397668,8675602,8958406,9245988,9540289,9844297,10160030,10487998,10827024,11175378,11530580,11891000,12255000,12625000,12999000,13379000,13764000,14155000,14551000,14952000,15360000,15773000,16192000,16618000,17049000,17487000,17932000
Cabo Verde,428188,435709,442951,449930,456617,463032,469170,475060,480842,486671,492654,498856,505235,511748,518269,524743,531146,537497,543767,549935,556000,562000,568000,573000,579000,584000,590000,595000,600000,605000,610000,615000,620000,624000,629000,633000
Cambodia,12155239,12405408,12637727,12856163,13066469,13273354,13477709,13679962,13883834,14093604,14312212,14541423,14780454,15026332,15274503,15521436,15766293,16009414,16249798,16486542,16719000,16946000,17169000,17386000,17598000,17806000,18009000,18207000,18402000,18593000,18781000,18967000,19150000,19331000,19509000,19686000
Cameroon,15513945,15928910,16357602,16800865,17259322,17733410,18223674,18730282,19252666,19789919,20341241,20906388,21485266,22077298,22681858,23298368,23926539,24566045,25216237,25876380,26546000,27224000,27912000,28608000,29315000,30032000,30759000,31497000,32244000,33001000,33766000,34540000,35323000,36115000,36915000,37722000
Canada,30685730,31020902,31360079,31644028,31940655,32243753,32571174,32889025,33247118,33628895,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36543321,37057765,37589262,37912000,38231000,38546000,38858000,39166000,39471000,39772000,40068000,40358000,40643000,40922000,41197000,41465000,41727000,41981000,42228000
Caribbean small states,6513489,6559094,6604961,6650970,6696953,6742709,6788114,6833384,6878970,6925454,6973196,7022380,7072661,7123333,7173442,7222206,7269385,7314986,7358958,7401383,7443000,7481000,7520000,7555000,7589000,7622000,7651000,7679000,7703000,7728000,7751000,7769000,7787000,7803000,7817000,7828000
Cayman Islands,42303,43935,45351,46632,47902,49261,50740,52280,53836,55322,56672,57878,58958,59932,60848,61724,62569,63382,64174,64948,66000,66000,67000,68000,69000,70000,70000,71000,72000,73000,73000,74000,75000,75000,76000,77000
Central African Republic,3640427,3722018,3802128,3881181,3959875,4038382,4118069,4198010,4273366,4337625,4386768,4418636,4436415,4447942,4464175,4493170,4537687,4596028,4666377,4745185,4830000,4920000,5017000,5119000,5227000,5338000,5454000,5572000,5694000,5817000,5942000,6068000,6195000,6323000,6450000,6577000
Central Europe and the Baltics,108447824,107660041,106959751,106624167,106331716,106041911,105772481,105378748,105001883,104800475,104421447,104174038,103935318,103713726,103496179,103257886,102994278,102738653,102537026,102378579,102066000,101772000,101480000,101187000,100878000,100549000,100198000,99825000,99431000,99015000,98580000,98125000,97659000,97174000,96677000,96173000
