country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Venezuela, RB",2,5,8,10,12,13,21,23,26,30,33,34,35,34,35,46,43,33,24,40
British Virgin Islands,,,,,,,,,,,,,,,,,,,,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,
Vietnam,0,0,0,0,0,1,4,8,13,18,23,28,33,37,41,48,54,60,65,70
Vanuatu,,,,,,,,,,,,,,,,,,,,
World,2,3,4,4,6,7,10,14,17,21,25,30,35,40,45,49,54,59,62,67
Samoa,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",0,0,0,0,0,0,0,2,4,6,10,10,10,12,16,16,18,21,22,24
South Africa,0,0,1,1,1,2,4,8,12,17,23,30,37,43,48,53,58,62,66,70
Zambia,0,0,0,2,4,7,10,19,26,32,37,44,48,54,60,68,69,72,79,85
Zimbabwe,0,0,0,0,1,2,5,8,12,18,30,39,45,52,59,64,70,78,73,85
