country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
"Egypt, Arab Rep.",68831561,70152661,71485043,72826097,74172073,75523569,76873663,78232126,79636079,81134798,82761235,84529250,86422240,88404640,90424654,92442547,94447072,96442593,98423595,100388000,102334000,104258000,106157000,108032000,109887000,111728000,113554000,115367000,117176000,118995000,120832000,122689000,124568000,126469000,128393000,130340000
El Salvador,5887936,5927006,5962136,5994077,6023797,6052123,6079399,6105810,6131764,6157686,6183875,6210568,6237923,6266070,6295128,6325124,6356143,6388122,6420744,6454000,6486000,6518000,6550000,6582000,6613000,6643000,6673000,6701000,6729000,6755000,6779000,6800000,6819000,6837000,6853000,6869000
Equatorial Guinea,606181,631666,658384,686664,716949,749535,784496,821687,860840,901599,943639,986853,1031191,1076413,1122276,1168568,1215179,1262001,1308974,1356000,1403000,1450000,1497000,1543000,1590000,1637000,1684000,1732000,1779000,1827000,1874000,1920000,1966000,2013000,2059000,2106000
Eritrea,2292416,2374722,2481058,2600973,2719803,2826659,2918205,2996536,3062779,3119920,3170435,3213972,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Estonia,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1320884,1317000,1313000,1309000,1305000,1301000,1296000,1292000,1287000,1282000,1276000,1271000,1265000,1259000,1253000,1248000,1242000,1236000
Eswatini,1005435,1013609,1019059,1022802,1026286,1030579,1036092,1042652,1049945,1057467,1064837,1072032,1079288,1086839,1095021,1104044,1113984,1124753,1136191,1148000,1160000,1172000,1185000,1198000,1210000,1224000,1237000,1251000,1265000,1281000,1298000,1317000,1337000,1358000,1380000,1401000
Ethiopia,66224804,68159423,70142091,72170584,74239505,76346311,78489206,80674348,82916235,85233913,87639964,90139927,92726971,95385785,98094253,100835458,103603501,106400024,109224559,112079000,114964000,117876000,120813000,123771000,126751000,129749000,132766000,135797000,138839000,141890000,144944000,148001000,151059000,154117000,157175000,160231000
Euro area,321310791,322547874,324125336,325885964,327682505,329380417,330922789,332645165,334274725,335360890,336151479,335419643,336159194,337302113,338466255,339533474,340616924,341164362,341783171,341888000,341989000,342068000,342129000,342174000,342200000,342214000,342201000,342155000,342079000,341979000,341856000,341717000,341550000,341358000,341137000,340884000
Europe & Central Asia,861993393,863083216,864648977,866925884,869516666,872163396,874862170,878004122,881531261,885170595,888627318,890862941,894486795,898766094,903129978,907498192,911812364,915420161,918793590,920901000,922779000,924326000,925577000,926591000,927457000,928238000,928936000,929518000,929994000,930357000,930610000,930780000,930867000,930889000,930836000,930714000
Europe & Central Asia (excluding high income),392301484,392050558,391720978,391882450,392243981,392658986,393216869,393919037,394991819,396743394,398783138,401012737,403265869,405778196,408278056,410844329,413361214,415710935,417797257,419413000,420757000,421814000,422618000,423230000,423744000,424212000,424654000,425053000,425405000,425697000,425934000,426128000,426290000,426424000,426529000,426605000
Europe & Central Asia (IDA & IBRD countries),435028415,434598276,434253516,434390419,434730803,435134576,435669295,436349814,437427283,439200178,441121359,443356614,445596591,448074081,450528180,453034345,455505650,457810292,459865205,461379000,462615000,463559000,464242000,464724000,465100000,465422000,465710000,465945000,466123000,466230000,466272000,466260000,466207000,466119000,465994000,465834000
European Union,488221138,489015301,490252423,492063516,494028141,495983155,497844869,499790863,501683669,503194070,504298777,504005894,505096232,506597697,508193856,509717579,511218529,512191098,513213363,513468000,513719000,513936000,514119000,514261000,514357000,514417000,514423000,514358000,514233000,514051000,513816000,513540000,513212000,512846000,512436000,511988000
Faroe Islands,46735,46997,47233,47432,47600,47722,47792,47825,47820,47808,47814,47823,47843,47892,47960,48051,48173,48331,48497,49000,49000,49000,49000,49000,50000,50000,50000,50000,50000,51000,51000,51000,51000,52000,52000,52000
Fiji,811006,813925,815257,816076,817860,821604,827870,836190,845361,853637,859818,863449,865069,865608,866453,868627,872399,877459,883483,890000,896000,903000,909000,916000,923000,930000,937000,944000,952000,959000,966000,973000,979000,986000,992000,998000
Finland,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5518050,5533000,5548000,5564000,5579000,5593000,5606000,5618000,5629000,5638000,5645000,5651000,5656000,5660000,5663000,5665000,5666000,5668000
Fragile and conflict affected situations,336293932,344736362,353568055,362707108,372022500,381419066,390889972,400456806,410146920,419986678,430002303,440218679,450626774,461192790,471835322,482530732,493290951,504119229,515215936,526823000,538961000,551744000,565100000,578879000,592846000,606840000,620809000,634785000,648779000,662848000,677019000,691280000,705611000,720015000,734503000,749079000
France,60912500,61357430,61805267,62244886,62704895,63179351,63621381,64016225,64374984,64707040,65027507,65342780,65659809,65998687,66316100,66593366,66859768,66865144,66987244,67211000,67443000,67675000,67904000,68129000,68348000,68562000,68769000,68967000,69156000,69336000,69509000,69674000,69832000,69984000,70131000,70274000
French Polynesia,240686,244931,248972,252703,255992,258780,261010,262721,264061,265254,266455,267698,268998,270328,271705,273124,274575,276103,277679,279000,281000,283000,284000,286000,287000,289000,291000,292000,294000,295000,297000,298000,299000,301000,302000,303000
Gabon,1228360,1258003,1288315,1319953,1353795,1390549,1430152,1472575,1518540,1568928,1624140,1684635,1749682,1817071,1883800,1947686,2007873,2064823,2119275,2173000,2226000,2279000,2332000,2384000,2436000,2488000,2539000,2591000,2642000,2693000,2744000,2796000,2847000,2898000,2950000,3002000
"Gambia, The",1317703,1360074,1404261,1449925,1496527,1543741,1591445,1639848,1689285,1740279,1793196,1848147,1905011,1963711,2024042,2085860,2149139,2213894,2280102,2348000,2417000,2487000,2558000,2631000,2705000,2780000,2856000,2934000,3012000,3091000,3171000,3251000,3333000,3415000,3498000,3582000
Georgia,4077131,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3731000,3721000,3711000,3698000,3685000,3671000,3657000,3642000,3627000,3611000,3595000,3579000,3562000,3545000,3528000,3511000,3493000,3475000
Germany,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82657002,82927922,82806000,82678000,82558000,82441000,82326000,82214000,82104000,81995000,81883000,81768000,81647000,81520000,81384000,81237000,81080000,80910000,80726000
Ghana,19278856,19756928,20246381,20750299,21272323,21814642,22379055,22963946,23563825,24170940,24779619,25387710,25996449,26607642,27224472,27849205,28481946,29121471,29767108,30418000,31073000,31732000,32395000,33063000,33734000,34409000,35087000,35769000,36454000,37142000,37833000,38528000,39225000,39925000,40627000,41332000
Gibraltar,31077,31602,32102,32555,32928,33219,33417,33517,33559,33565,33585,33612,33646,33692,33725,33736,33737,33728,33718,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
Greece,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10754679,10727668,10696000,10665000,10634000,10603000,10572000,10541000,10510000,10479000,10448000,10417000,10386000,10355000,10324000,10292000,10260000,10228000,10195000
Greenland,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56114,56186,56171,56025,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Grenada,102833,103249,103634,104005,104347,104661,104933,105190,105456,105789,106233,106796,107446,108170,108902,109599,110261,110874,111454,112000,113000,113000,113000,114000,114000,115000,115000,115000,115000,116000,116000,116000,116000,116000,116000,116000
Guam,155329,156401,157176,157717,158101,158402,158648,158847,159036,159226,159444,159692,159996,160407,161016,161853,162951,164281,165768,167000,169000,170000,172000,173000,174000,175000,177000,178000,179000,180000,181000,182000,183000,184000,185000,186000
Guatemala,11650743,11924946,12208848,12500478,12796925,13096028,13397021,13700327,14006428,14316263,14630417,14948803,15270778,15595821,15923243,16252429,16583060,16914936,17247807,17581000,17916000,18250000,18584000,18918000,19250000,19582000,19912000,20240000,20566000,20891000,21213000,21532000,21849000,22164000,22475000,22782000
Guinea,8240730,8417081,8586074,8753093,8925743,9109581,9307425,9518162,9738792,9964469,10192176,10420471,10652029,10892810,11150977,11432088,11738441,12067539,12414318,12771000,13133000,13497000,13866000,14239000,14618000,15004000,15397000,15795000,16199000,16608000,17021000,17439000,17861000,18287000,18716000,19150000
