country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Heavily indebted poor countries (HIPC),2.130532515,2.014117635,1.89867053,1.784677567,1.674820605,1.583152071,1.507322885,1.42778178,1.355199529,1.291203081,1.23858333,1.165399999,1.08167507,1.019309879,0.959647966,0.898889507,0.853003382,0.794319348,0.738102748,0.686500113
Croatia,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
Haiti,1.44,1.47,1.4,1.32,1.2,1.12,1.08,1.02,0.97,0.94,0.92,0.88,0.83,0.77,0.73,0.69,0.65,0.59,0.53,0.52
Hungary,,,,,,,,,,,,,,,,,,,,
IBRD only,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,,,,,,,,,,,,,,,,,,,,
IDA total,1.561288491,1.467242687,1.380741584,1.299595292,1.225230866,1.168785635,1.113537185,1.060511514,1.009563801,0.965978694,0.924264266,0.868777252,0.813839607,0.768941756,0.724386973,0.681656012,0.6469137,0.607178793,0.570831625,0.541680552
IDA blend,1.274117309,1.179052973,1.100160773,1.028881555,0.97123704,0.939833018,0.894086662,0.858333495,0.818693319,0.788616297,0.744348993,0.691487523,0.651289491,0.610254491,0.568905913,0.534882826,0.503000792,0.47574111,0.454781997,0.44609206
Indonesia,,,,,,,,,,,,,,,,,,,,
IDA only,1.74211171,1.648388662,1.556705399,1.468933518,1.383702144,1.31129747,1.249855968,1.185885645,1.127770379,1.075713287,1.035587718,0.97851249,0.914425864,0.867119788,0.820551146,0.772374043,0.735769582,0.688214141,0.642249057,0.600376021
Isle of Man,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,
Not classified,,,,,,,,,,,,,,,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05
Iraq,,,,,,,,,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,
Italy,0.1,0.1,0.11,0.11,0.11,0.11,0.1,0.1,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.04
Jamaica,1.04,1,0.75,0.79,0.8,0.78,0.71,0.72,0.68,0.71,0.68,0.67,0.66,0.65,0.63,0.62,0.61,0.6,0.59,0.57
Jordan,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,
Kazakhstan,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.19,0.2
Kenya,4.5,4.09,3.75,3.46,3.21,2.99,2.83,2.63,2.32,2.22,2.08,1.83,1.74,1.64,1.51,1.31,1.17,1.09,0.97,0.92
Kyrgyz Republic,0.03,0.04,0.05,0.05,0.06,0.08,0.09,0.11,0.13,0.14,0.14,0.16,0.17,0.16,0.16,0.16,0.16,0.16,0.15,0.14
Cambodia,0.89,0.65,0.54,0.46,0.39,0.33,0.28,0.23,0.2,0.17,0.14,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.05
Kiribati,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,
Republic of Korea,,,,,,,,,,,,,,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (excluding high income),,,,,,,,,,,,,,,,,,,,
Laos,0.11,0.15,0.16,0.17,0.16,0.17,0.17,0.18,0.18,0.18,0.17,0.17,0.16,0.15,0.15,0.14,0.13,0.12,0.12,0.11
Lebanon,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Liberia,1.93,1.71,1.52,1.36,1.27,1.21,1.15,1.08,1.02,0.96,0.89,0.82,0.77,0.74,0.7,0.64,0.6,0.56,0.5,0.46
Libya,0.04,0.05,0.07,0.07,0.09,0.1,0.11,0.12,0.12,0.13,0.13,0.13,0.12,0.11,0.11,0.1,0.09,0.08,0.07,0.07
St. Lucia,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,,,,,,,,,,,,,,,,,,,,
Least developed countries: UN classification,1.790586989,1.703039305,1.615262795,1.52951694,1.448886505,1.37590418,1.315830784,1.253082185,1.193161511,1.143705249,1.099807123,1.039197021,0.972157263,0.92061268,0.869633732,0.817976304,0.780223874,0.731434417,0.682348857,0.638509718
Low income,1.63204847,1.55280416,1.471226931,1.38660501,1.313321272,1.244962554,1.190481222,1.130412786,1.077070641,1.03546502,1.000626612,0.93529938,0.861272706,0.815447856,0.763192568,0.716307181,0.682363632,0.63663902,0.589909485,0.556323355
Liechtenstein,,,,,,,,,,,,,,,,,,,,
Sri Lanka,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Lower middle income,,,,,,,,,,,,,,,,,,,,
Low & middle income,,,,,,,,,,,,,,,,,,,,
Lesotho,21.24,19.49,18.1,16.89,15.85,15.15,14.51,14.2,13.97,13.15,12.29,11.35,10.69,9.81,8.94,8.13,7.67,7.18,6.66,6.43
Late-demographic dividend,,,,,,,,,,,,,,,,,,,,
Lithuania,0.04,0.11,0.05,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09
Luxembourg,,,,,,,,,,,,,,,,,,,,
Latvia,0.12,0.13,0.14,0.15,0.16,0.16,0.17,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.18,0.18,0.18,0.19,0.19,0.19
"Macao SAR, China",,,,,,,,,,,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,
Morocco,0.04,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02
Monaco,,,,,,,,,,,,,,,,,,,,
Moldova,0.3,0.26,0.27,0.29,0.31,0.35,0.38,0.4,0.4,0.41,0.38,0.37,0.34,0.32,0.3,0.28,0.26,0.25,0.24,0.23
Madagascar,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.07,0.08,0.1,0.11,0.13,0.15,0.17,0.19,0.2,0.21,0.22,0.23
Maldives,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,0.037437402,0.040065245,0.039295722,0.039746412,0.040616031,0.039586752,0.039462206,0.036923611,0.038853118,0.03883784,0.038998348,0.037558887,0.038990003,0.038591624,0.038488705,0.042349129,0.039659779,0.04237821,0.042164238,0.044025863
Mexico,,,,,,,,,,,,,,,,,,,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,
Middle income,,,,,,,,,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,
Mali,,,,,,,,,,,,,,,,,,,,
Malta,,,,,,,,,,,,,,,,,,,,
